	RI	ARI	MI	AMI	VI	NVI	ID	NID	NMI	Chi2	MARI	MARIraw	F.score	AUC	ACC	Purity
Raw	0.986306340718105	0.954926666537976	1.69803353107915	0.944859363175989	0.18739243430492	0.0993899722107348	0.0990948006669523	0.0551406368240109	0.944859363175989	3116.44350068422	0.954941159108231	0.145106250053075	0.9636925258254	0.980826366420206	0.986330750092939	0.9714795008912656
SCDD	0.998726763432646	0.995833834486161	1.776888601984	0.994167532489691	0.0198670080120245	0.0110571565222877	0.010424445278912	0.0058324675103087	0.994167532489691	3354.09533361486	0.995835211284902	0.152220663856293	0.996649860131661	0.998278201052243	0.998729033016545	0.9982174688057041
Diffusion	0.998726763432646	0.995833834486161	1.776888601984	0.994167532489691	0.0198670080120245	0.0110571565222877	0.010424445278912	0.0058324675103087	0.994167532489691	3354.09533361486	0.995835211284902	0.152220663856293	0.996649860131661	0.998278201052243	0.998729033016545	0.9803921568627451
scIGANs	0.890845429080723	0.612196768291485	1.38643922196157	0.723333475302562	0.930188596154422	0.401526990602618	0.530296653398877	0.276666524697438	0.723333475302562	2106.01382245084	0.612205006451564	0.0861601824489605	0.680189506276463	0.840515202373329	0.891040000508387	0.839572192513369
MAGIC	0.911490960020372	0.710993021486728	1.32463110663126	0.738063992603818	0.931806426667404	0.412954674311417	0.470106368581546	0.261936007396182	0.738063992603818	2168.55664624335	0.71106132618981	0.108907808217194	0.767741396592048	0.856108650332119	0.911648730145113	0.8591800356506238
SAVER	0.990145148968678	0.967673308140867	1.71933628420869	0.958876045520492	0.140733198841728	0.075660183731918	0.0737383183332989	0.0411239544795082	0.958876045520492	3198.53420304099	0.967684019363877	0.147549009321438	0.97398625371805	0.985503384767553	0.990162715548057	0.9803921568627451
DCA	0.913330786860199	0.682699700518229	1.57870447292902	0.780248611320487	0.652257409750642	0.292366003567573	0.444630717962553	0.219751388679513	0.780248611320487	2548.65612775437	0.682709597127807	0.0932425044225053	0.735727458021935	0.897637089564347	0.913485277436205	0.9215686274509803
DeepImpute	0.896625923096511	0.635467062710442	1.45499697960428	0.763032521084325	0.783198236197815	0.349924006033202	0.451864051084979	0.236967478915675	0.763032521084325	2338.7557494131	0.635470421999858	0.0901040302876056	0.700101579093176	0.849460386037463	0.896810190613273	0.8680926916221033
DrImpute	0.993812070282658	0.979712405266741	1.74029726656377	0.97123706878216	0.0975723455475883	0.0530899172088146	0.0515384473942442	0.0287629312178403	0.97123706878216	3233.14892979452	0.979719121902219	0.149461799430909	0.983676759534485	0.991239410810221	0.993823100460408	0.9857397504456328
scGNN	0.776451489686784	0.277963999234344	0.77288660084908	0.432667030679877	1.94646489784838	0.715782751431992	1.01344456386803	0.567332969320123	0.432667030679877	1040.08630411111	0.277954033237568	0.043027876981586	0.421556353572958	0.640023101273959	0.776849971879855	0.5793226381461676
ALRA	0.962312197606315	0.882228066594448	1.57140735181912	0.879684228130215	0.308776620383756	0.164226812348573	0.214923812897991	0.120315771869785	0.879684228130215	2665.38643524046	0.882260830240884	0.141203950638662	0.906516967486222	0.924311134752114	0.962379377289726	0.9393939393939394
scVI	0.979010695187166	0.932173931372267	1.62359837309876	0.908901107010509	0.248960971977574	0.132952246684297	0.162732791618358	0.0910988929894913	0.908901107010509	2629.13643208782	0.932192222260234	0.14427597651308	0.94565504054856	0.961097307072535	0.979048109277741	0.9340463458110517
VIPER	0.987535014005602	0.958951070202453	1.71071569362016	0.950997431013677	0.163764461892075	0.0873652683974794	0.0881489907951201	0.0490025689863232	0.950997431013677	3160.11903141141	0.958964331185206	0.145647400208099	0.966929586028679	0.983075267566489	0.987557233231974	0.9750445632798574
